,date,City,fips,cases,deaths,Latitude,Longitude
1163,2020-03-25,Alabama,1,386,1,32.601011199999995,-86.6807365
1164,2020-03-25,Alaska,2,59,0,61.3025006,-158.7750198
1165,2020-03-25,Arizona,4,402,6,34.1682185,-111.930907
1166,2020-03-25,Arkansas,5,308,2,34.7519275,-92.13137840000002
1167,2020-03-25,California,6,3183,67,37.2718745,-119.2704153
1168,2020-03-25,Colorado,8,1086,19,38.9979339,-105.55056699999999
1169,2020-03-25,Connecticut,9,875,19,41.518783500000005,-72.75750699999999
1170,2020-03-25,Delaware,10,119,0,39.145251,-75.41892059999999
1171,2020-03-25,District of Columbia,11,231,3,38.899348700000004,-77.0145666
1172,2020-03-25,Florida,12,1965,23,27.9757279,-83.8330166
1173,2020-03-25,Georgia,13,1387,47,32.6781248,-83.22297569999999
1174,2020-03-25,Guam,66,32,1,,
1175,2020-03-25,Hawaii,15,95,0,20.46,-157.505
1176,2020-03-25,Idaho,16,123,0,45.4945756,-114.1424303
1177,2020-03-25,Illinois,17,1875,21,39.739318,-89.504139
1178,2020-03-25,Indiana,18,479,14,39.7662195,-86.441277
1179,2020-03-25,Iowa,19,145,1,41.9383166,-93.389798
1180,2020-03-25,Kansas,20,132,3,38.4987789,-98.32007790000002
1181,2020-03-25,Kentucky,21,198,5,37.8222935,-85.76823990000001
1182,2020-03-25,Louisiana,22,1795,65,30.9733766,-91.42990970000001
1183,2020-03-25,Maine,23,142,0,45.2185133,-69.0148656
1184,2020-03-25,Maryland,24,423,4,38.806352399999994,-77.2684162
1185,2020-03-25,Massachusetts,25,1838,15,42.062939799999995,-71.718067
1186,2020-03-25,Michigan,26,2294,43,44.9435598,-86.41580490000001
1187,2020-03-25,Minnesota,27,287,1,46.4418595,-93.3655146
1188,2020-03-25,Mississippi,28,377,5,32.5851062,-89.8772196
1189,2020-03-25,Missouri,29,377,8,38.3046615,-92.437099
1190,2020-03-25,Montana,30,65,0,46.6797995,-110.04478300000001
1191,2020-03-25,Nebraska,31,84,0,41.5008195,-99.680902
1192,2020-03-25,Nevada,32,405,10,38.502032,-117.0230604
1193,2020-03-25,New Hampshire,33,137,1,44.00123060000001,-71.57992309999999
1194,2020-03-25,New Jersey,34,4402,62,40.1430058,-74.7311156
1195,2020-03-25,New Mexico,35,112,1,34.1662325,-106.02606850000001
1196,2020-03-25,New York,36,33066,325,40.7056258,-73.97968
1197,2020-03-25,North Carolina,37,563,1,35.2145629,-79.8912675
1198,2020-03-25,North Dakota,38,45,0,47.467881899999995,-100.3022655
1199,2020-03-25,Ohio,39,706,11,40.1903624,-82.6692525
1200,2020-03-25,Oklahoma,40,164,5,35.309765399999996,-98.71655849999999
1201,2020-03-25,Oregon,41,266,10,44.1419049,-120.5380993
1202,2020-03-25,Pennsylvania,42,1151,11,40.99459279999999,-77.6046984
1203,2020-03-25,Puerto Rico,72,51,2,,
1204,2020-03-25,Rhode Island,44,132,0,41.5827282,-71.5064508
1205,2020-03-25,South Carolina,45,424,7,33.62505,-80.9470381
1206,2020-03-25,South Dakota,46,41,1,44.2126995,-100.24716409999999
1207,2020-03-25,Tennessee,47,806,3,35.830521000000005,-85.97859890000001
1208,2020-03-25,Texas,48,1119,12,31.1693363,-100.0768425
1209,2020-03-25,Utah,49,346,1,39.4997605,-111.547028
1210,2020-03-25,Vermont,50,123,8,43.8717545,-72.4477828
1211,2020-03-25,Virgin Islands,78,17,0,,
1212,2020-03-25,Virginia,51,391,9,38.0033855,-79.4587861
1213,2020-03-25,West Virginia,54,51,0,38.920170500000005,-80.1816905
1214,2020-03-25,Wisconsin,55,623,7,44.7862968,-89.82670490000001
1215,2020-03-25,Wyoming,56,49,0,43.000325,-107.5545669
